sec_code,industry_code,industry_label,market
1301,0050,水産・農林業,プライム
130A,3250,医薬品,グロース
1332,0050,水産・農林業,プライム
1333,0050,水産・農林業,プライム
135A,5250,情報・通信業,グロース
1375,0050,水産・農林業,プライム
1376,0050,水産・農林業,スタンダード
1377,0050,水産・農林業,プライム
1379,0050,水産・農林業,プライム
137A,5250,情報・通信業,グロース
1380,0050,水産・農林業,スタンダード
1381,0050,水産・農林業,スタンダード
1382,0050,水産・農林業,スタンダード
1383,0050,水産・農林業,スタンダード
1384,0050,水産・農林業,スタンダード
138A,6100,小売業,グロース
1401,2050,建設業,グロース
1407,2050,建設業,スタンダード
1414,2050,建設業,プライム
1417,2050,建設業,プライム
1418,2050,建設業,スタンダード
1419,2050,建設業,プライム
141A,6100,小売業,グロース
1420,2050,建設業,スタンダード
1429,2050,建設業,プライム
142A,9050,サービス業,グロース
1430,2050,建設業,スタンダード
1431,2050,建設業,グロース
1433,2050,建設業,プライム
1434,2050,建設業,スタンダード
1435,8050,不動産業,スタンダード
1436,2050,建設業,グロース
1438,2050,建設業,スタンダード
143A,9050,サービス業,グロース
1443,2050,建設業,スタンダード
1444,2050,建設業,グロース
1446,2050,建設業,スタンダード
1447,2050,建設業,グロース
1450,2050,建設業,スタンダード
145A,5250,情報・通信業,グロース
146A,8050,不動産業,スタンダード
147A,5250,情報・通信業,グロース
148A,5250,情報・通信業,グロース
1491,3500,非鉄金属,スタンダード
149A,5250,情報・通信業,グロース
150A,9050,サービス業,グロース
1514,1050,鉱業,スタンダード
1515,1050,鉱業,プライム
1518,3800,その他製品,プライム
151A,9050,サービス業,グロース
153A,5250,情報・通信業,グロース
155A,5250,情報・通信業,グロース
156A,9050,サービス業,グロース
157A,9050,サービス業,グロース
1605,1050,鉱業,プライム
160A,9050,サービス業,スタンダード
1662,1050,鉱業,プライム
1663,1050,鉱業,プライム
166A,8050,不動産業,プライム
167A,6050,卸売業,プライム
168A,3800,その他製品,グロース
1711,2050,建設業,スタンダード
1716,2050,建設業,スタンダード
1717,9050,サービス業,スタンダード
1718,2050,建設業,スタンダード
1719,2050,建設業,プライム
1720,2050,建設業,プライム
1721,2050,建設業,プライム
1723,2050,建設業,スタンダード
1724,2050,建設業,スタンダード
1736,2050,建設業,スタンダード
173A,5250,情報・通信業,グロース
1758,2050,建設業,スタンダード
175A,5250,情報・通信業,グロース
1762,2050,建設業,プライム
1764,2050,建設業,スタンダード
1766,2050,建設業,プライム
1768,2050,建設業,スタンダード
1770,2050,建設業,スタンダード
177A,3200,化学,グロース
1780,2050,建設業,プライム
1783,8050,不動産業,スタンダード
1786,2050,建設業,プライム
1787,2050,建設業,スタンダード
1788,2050,建設業,スタンダード
1793,2050,建設業,スタンダード
1795,2050,建設業,スタンダード
1798,2050,建設業,スタンダード
1799,2050,建設業,スタンダード
1801,2050,建設業,プライム
1802,2050,建設業,プライム
1803,2050,建設業,プライム
1807,2050,建設業,スタンダード
1808,2050,建設業,プライム
1810,2050,建設業,スタンダード
1811,2050,建設業,スタンダード
1812,2050,建設業,プライム
1813,2050,建設業,プライム
1814,2050,建設業,プライム
1815,2050,建設業,プライム
1820,2050,建設業,プライム
1822,2050,建設業,スタンダード
1826,2050,建設業,スタンダード
1827,2050,建設業,スタンダード
1828,2050,建設業,スタンダード
1833,2050,建設業,プライム
1835,2050,建設業,プライム
1840,2050,建設業,スタンダード
1844,2050,建設業,スタンダード
1847,2050,建設業,スタンダード
1848,2050,建設業,スタンダード
184A,5250,情報・通信業,グロース
1850,2050,建設業,スタンダード
1852,2050,建設業,プライム
1853,2050,建設業,スタンダード
1860,2050,建設業,プライム
1861,2050,建設業,プライム
1866,2050,建設業,スタンダード
1867,2050,建設業,スタンダード
186A,9050,サービス業,グロース
1870,2050,建設業,プライム
1871,2050,建設業,プライム
1873,2050,建設業,プライム
1878,8050,不動産業,プライム
1879,2050,建設業,プライム
1882,2050,建設業,プライム
1885,2050,建設業,プライム
1887,2050,建設業,プライム
1888,2050,建設業,プライム
1893,2050,建設業,プライム
1897,2050,建設業,スタンダード
1898,2050,建設業,プライム
1899,2050,建設業,プライム
189A,9050,サービス業,グロース
1904,2050,建設業,スタンダード
1905,2050,建設業,スタンダード
1909,3600,機械,スタンダード
190A,3250,医薬品,グロース
1911,2050,建設業,プライム
1914,2050,建設業,スタンダード
1921,2050,建設業,スタンダード
1925,2050,建設業,プライム
1926,2050,建設業,プライム
1928,2050,建設業,プライム
1929,2050,建設業,プライム
192A,9050,サービス業,グロース
1930,2050,建設業,プライム
1934,2050,建設業,プライム
1938,2050,建設業,プライム
1939,2050,建設業,プライム
1941,2050,建設業,プライム
1942,2050,建設業,プライム
1944,2050,建設業,プライム
1945,2050,建設業,プライム
1946,2050,建設業,プライム
1948,2050,建設業,スタンダード
194A,9050,サービス業,グロース
1950,2050,建設業,プライム
1951,2050,建設業,プライム
1952,2050,建設業,プライム
1959,2050,建設業,プライム
195A,9050,サービス業,グロース
1960,2050,建設業,スタンダード
1961,2050,建設業,プライム
1963,2050,建設業,プライム
1964,2050,建設業,プライム
1965,2050,建設業,スタンダード
1966,2050,建設業,スタンダード
1967,2050,建設業,スタンダード
1968,2050,建設業,プライム
1969,2050,建設業,プライム
196A,7200,その他金融業,グロース
1972,2050,建設業,スタンダード
1975,2050,建設業,プライム
1976,2050,建設業,プライム
1979,2050,建設業,プライム
197A,3250,医薬品,スタンダード
1980,2050,建設業,プライム
1981,2050,建設業,スタンダード
1982,2050,建設業,プライム
